imo,mmsi,name,flag,type
9214771,770576271,"PUNTA BRAVA",UY,Tug
9268356,770576269,"PUNTA GORDA",UY,Tug
6801028,770576265,"AUDAX II",UY,
8821336,770576264,"VB PUNTA DEL ESTE",UY,Tug
8952998,770576244,"GRUA FLOTANTE GF2",UY,"Other Type"
8820133,770576240,"RIGEL T",UY,"Oil Products Tanker"
7396381,770576232,"BUENOS AIRES EXPRESS",UY,"Passengers Ship"
9119385,770576231,"SILVIA ANA L",UY,"Ro-Ro/Passenger Ship"
7363841,770576227,"SANT BULT",UY,Tug
8502248,770576223,"FLECHA DE BS AS",UY,"Ro-Ro/Passenger Ship"
8704937,770576220,"COLONIA EXPRESS",UY,Passenger
9043952,770576219,"PATRICIA OLIVIA II",UY,"Ro-Ro/Passenger Ship"
7217858,770576198,SUDESTADA,UY,Tug
8020135,770576196,LUCERO,UY,"General Cargo"
8317710,770576192,PAMPERO,UY,Tug
9241138,770576190,"VB MONTEVIDEO",UY,Tug
8317710,770576189,"GAUCHO 2",UY,Tug
9044114,770576154,MATRERO,UY,Tug
8819483,770576150,ALDEBARAN,UY,Fishing
6016685,770576120,ANTARES,UY,Fishing
8869581,770576105,"ELADIA ISABEL",UY,"Ro-Ro/Passenger Ship"
7821013,770576078,"ANCAP NOVENO",UY,"Oil Products Tanker"
8411176,770576067,GAUCHO,UY,Tug
7011644,770576066,"ANGLIAN WARRIOR",UY,Tug
6801860,770576064,ZAANDAM,UY,Fishing
6704749,770576063,ZURITA,UY,Fishing
9326677,770576044,OWBALTIC,UY,"Oil Products Tanker"
7808188,770576010,PLATENSE,UY,"Ro-Ro Cargo"
9001540,770576009,"ATLANTIC III",UY,"Ro-Ro/Passenger Ship"
9053464,770565353,BADARO,UY,Fishing
9308429,765123452,HAYDN,SR,"Container Ship"
7650017,765000017,"FAKE 204795 FAKE",,"Other Type"
7650006,765000006,"TACT 6",SR,"Military ops"
7650005,765000005,"TACT 5",SR,"Not available"
9052903,760126000,"BAP TACNA",PE,"Replenishment Vessel"
8417261,760001220,"SANTA CLARA B",PE,Tanker
9144160,760001110,"CNP PAITA",PE,"Container Ship"
9291638,760000700,"TRADEWIND HOPE",PE,Tanker
9262869,760000440,MOQUEGUA,PE,"Tanker D"
9763928,760000400,"DON OLE",PE,Fishing
6708412,756050576,"PLATA     FEEDER",,Cargo
7407996,755890648,"PATRICIA M",PY,"Not available"
8522377,755890643,"SARA A",PY,"Not available"
1048576,755888819,VOSTOK,PY,"Not available"
8933746,755355148,JOSAMO,PY,"General Cargo"
9686481,755091100,"HB LYNX",PY,Tug
9545974,755055000,"RAUL D",PY,Tug
9535503,755053000,CLARA.B,PY,Tug
9551090,755043000,"AVA PAYAGUA",PY,Tug
9686455,755023456,"HB HYDRA",PY,Towing
9686508,755022300,"HB AQUILA",PY,"Other Type"
9686510,755022000,"HB SCORPIUS",PY,"Other Type"
9686522,755012300,"HB CENTAURUS",PY,"Not available"
9686483,755011000,"HB PEGASUS",PY,"Other Type"
9051997,755009822,TEHIA,PY,"General Cargo"
7034878,755004000,EXPLORADOR,PY,"General Cargo"
7816109,755002914,"DONA MARGARITA",PY,"Ro-Ro Cargo"
7822524,755002000,"PLATA FEEDER",PY,"General Cargo"
9291585,752729680,"YM VENU_   8  ,  !",,"Oil/Chemical Tanker"
9739707,752032001,"NIVAGA 3",,"Passenger A"
7500762,750000037,FAIRLAND,GY,"General Cargo"
7816109,745663445,"DONA MARGARITA",GF,"Ro-Ro Cargo"
9741700,744738287,OH679,,"Not available"
6805165,740845003,NIKY,FK,"General Cargo"
9361603,740382000,TRONIO,FK,Fishing
8704779,740372000,"NEW POLAR",FK,Trawler
8916932,740369000,CFL.GAMBLER,FK,Fishing
8517463,740368000,KALATXORI,FK,Trawler
8717465,740366000,"ROBIN M. LEE",FK,Trawler
8516043,740363000,"PARADANTA PRIMERO",FK,Trawler
8604694,740359000,"ARGOS VIGO",FK,Trawler
8605947,740358000,CASTELO,FK,Trawler
9114256,740357000,"ERNEST SHACKLETON",FK,"Research/Survey Vessel"
8521347,740356000,SIL,FK,"Factory Trawler"
8619754,740354000,VENTURER,FK,Trawler
8600430,740353000,"ARGOS PEREIRA",FK,Trawler
8801979,740344000,"GOLDEN CHICHA",FK,Trawler
8904496,740339000,"JAMES CLARK ROSS",FK,"Research/Survey Vessel"
8600428,740338000,IGUELDO,FK,Trawler
7813119,740337000,"BEAGLE FI",FK,Trawler
8704614,740336000,"ARGOS GALICIA",FK,Trawler
7388499,740335000,CAPRICORN,FK,Trawler
7819125,740333000,PETREL,FK,Trawler
9302601,739332480,Y,,Cargo
9242091,735059314,"B/RAM TUMBES",EC,Tug
9710983,735059287,JOCAY,EC,Fishing
9038165,735059255,KENY,EC,Fishing
9186027,735059214,"RAM PUYANGO",EC,"Other Type"
8619106,735059007,LIBERTAD2,EC,Tanker
9175482,735058769,"MARIA DEL CARMEN VI",EC,"Oil Products Tanker"
9204908,735058261,"GUAYAS II",EC,"Other Type"
9410246,735057784,"MARIA DEL CARMEN III",EC,Tanker
9174373,735057549,SANTIAGO,EC,Tug
6802319,735057545,"B/T BONITO",EC,Tanker
8028254,733788889,TEMPTATION,,Cargo
9536492,730151209,"RM BOREAS",CO,Tug
9695547,730151181,MARDEANGELES,CO,Tug
9536507,730151136,ALISIOS,CO,Tug
9390238,730151101,"RM APOLO",CO,"Other Type"
9241920,730151081,"RM CALIMA I",CO,Tug
8810750,730151041,MONIKA,CO,"General Cargo"
9675250,730151035,"RM GAIRA",CO,Tug
9562556,730151030,CHINOOK,CO,Tug
9654438,730151010,"GPC TESORO",CO,Tug
9654426,730128000,"GPC ROSARIO",CO,Tug
9654414,730127000,"GPC BARU",CO,Tug
9396397,730125000,R.M.BARU,CO,Tug
9598983,730109000,TYR,CO,Tug
9637648,730105000,"DONA CLARY",CO,Cargo
9517783,730095000,"MRS DOROTY",CO,Tug
9517848,730093000,"OSCAR PAEZ JR.",CO,Tug
9303625,730092000,"DON NICOLA",CO,"Anchor Handling Vessel"
7402623,730088000,"CARTAGENA SUN",CO,"Oil/Chemical Tanker"
8803355,730087000,"TUG COVENAS",CO,Fishing
8424628,730085000,CERREJON,CO,Tug
9579377,730079000,"SEA TROUT",CO,"Anchor Handling Vessel"
7507758,730077000,GOLIATH,CO,"Towing > 200m OR Breadth > 25m"
8983648,730068000,MR.SAM,CO,"Other Type"
9121508,730063000,TITANIA,CO,Tug
8129450,730060000,"B/T SAN ANDRES II",CO,"Oil Products Tanker"
9381093,730044000,ODIN,CO,Tug
